Code;HMI Message;Cause;Action;Platforms
105;Lift sensor problem;One or both the lift sensor circuit boards are damaged or not installed correctly. ;Examine the lift sensor circuit boards and their cabling. Examine that the lift sensor magnets are not missing or installed in opposite direction. Replace if necessary.;P25
105;Lift sensor problem;The communication with the lift sensor circuit board is damaged. ;Examine the lift sensor circuit boards and their cabling. Replace if necessary.;P25
106;Collision sensor problem;Temporary electronic or firmware problem in the product.;Restart the product. If the problem stays, speak to your authorized service center.;P0.05, P0.05H, P14, P17, P21, P22, P25, P2Z, P3
106;Collision sensor problem;The front collision circuit board and/or the rear collision circuit board is damaged or not installed correctly.;Examine the  front collision circuit board and the rear collision circuit board and their cabling. Replace if necessary. ;P2Z
106;Collision sensor problem;One or several magnetic 3D circuit boards for the collision sensors are damaged or not installed correctly. ;Examine the magnetic 3D circuit boards for the collision sensors and their cabling. Replace if necessary. ;P22, P25, P3
4;Loop sensor problem, front;The front loop circuit board is damaged or not installed correctly.;Examine the front loop circuit board and its cabling. Replace if necessary.;P14, P15, P16, P2, P2C
109;Loop sensor problem;One or several loop sensors are damaged or not installed correctly. ;Examine the motor control circuit board, the front loop circuit board and their cabling. Replace if necessary.;P2Z
109;Loop sensor problem;One or several loop sensors are damaged or not installed correctly.;Examine the front loop circuit board, the rear loop circuit board and their cabling. Replace if necessary. ;P14, P17, P21, P22, P25
109;Loop sensor problem;Temporary electronic or firmware problem in the product.;Restart the product. If the problem stays, speak to your authorized service center.;P14, P17, P21, P22, P25, P2Z, P3
5;Loop sensor problem, rear;The main circuit board is damaged or not installed correctly.;Examine the main circuit board and its cabling. Replace if necessary.;P1, P10, P15, P2, P2C
5;Loop sensor problem, rear;The rear sensor circuit board is damaged or not installed correctly.;Examine the rear sensor circuit board and its cabling. Replace if necessary.;P12, P16
11;Low battery;The product cannot find the charging station because the guide wire is damaged. ;If the indicator lamp on the charging station is flashing yellow the guide wire is damaged. Examine that the connections of the guide wire to the charging station and to the boundary wire are correct. Examine if there is a break in the guide wire and repair if necessary. ;P0.1, P0.2, P0.3, P1, P10
11;Low battery;The product cannot find the charging station. ;Change the position of the guide wire.;P0.1, P0.2, P0.3, P1, P10, P12, P15, P2, P2C
11;Low battery;The product cannot find the charging station. ;Change the settings of how to find the charging station. ;P12, P15, P2, P2C
11;Low battery;The battery is at the end of its life cycle.;Speak to you authorized service center to replace the battery. ;P1, P10, P12, P15, P2, P2C
11;Low battery;The battery is at the end of its life cycle.;Replace the battery. ;P0.1, P0.2, P0.3, P1, P10, P12, P15, P2, P2C
11;Low battery;The product is in the charging station, but does not charge the battery. ;Examine that the charging plates on the product and the contact plates on the charging station are in contact. Clean the contact plates and charging plates.;P0.1, P0.2, P0.3, P1, P10, P12, P15, P2, P2C
11;Low battery;The product cannot enter the charging station because the antenna in the baseplate of the charging station is damaged.;If the indicator lamp on the charging station is flashing red the antenna is damaged. Speak to your authorized service center.;P0.1, P0.2, P0.3, P1, P10, P12, P15, P2, P2C
11;Low battery;The product cannot enter the charging station because the antenna in the baseplate of the charging station is damaged.;Replace the baseplate of the charging station. ;P0.1, P0.2, P0.3, P1, P10, P12, P15, P2, P2C
12;Empty battery;The product cannot find the charging station because the guide wire is damaged.;If the indicator lamp on the charging station is flashing yellow the guide wire is damaged. Examine that the connections of the guide wire to the charging station and to the boundary wire are correct. Examine if there is a break in the guide wire and repair if necessary.;P0.05, P0.05H, P0.1, P0.2, P0.3, P1, P10
12;Empty battery;The product cannot find the charging station.;Change the position of the guide wire.;P0.05, P0.05GA, P0.05H, P0.1, P0.2, P0.3, P1, P10, P12, P14, P15, P16, P17, P2, P21, P21NA, P22, P25, P2C
12;Empty battery;The product cannot find the charging station.;Change the settings of how to find the charging station.;P12, P15, P16, P17, P2, P21, P21NA, P25, P2C
12;Empty battery;The battery is at the end of its life cycle.;Speak to you authorized service center to replace the battery.;P0.05H, P1, P10, P12, P15, P16, P17, P2, P21, P21NA, P22, P25, P2C, P2Z, P3
12;Empty battery;The battery is at the end of its life cycle.;Replace the battery.;P0.05, P0.05GA, P0.05H, P0.1, P0.2, P0.3, P1, P10, P12, P14, P15, P16, P17, P2, P21, P21NA, P22, P25, P2C, P2Z, P3
12;Empty battery;The product is in the charging station, but does not charge the battery.;Examine that the charging plates on the product and the contact plates on the charging station are in contact. Clean the contact plates and charging plates.;P0.05, P0.05GA, P0.05H, P0.1, P0.2, P0.3, P1, P10, P12, P14, P15, P16, P17, P2, P21, P21NA, P22, P25, P2C, P2Z, P3
12;Empty battery;The product cannot enter the charging station because the antenna in the baseplate of the charging station is damaged.;If the indicator lamp on the charging station is flashing red the antenna is damaged. Speak to your authorized service center.;P0.05, P0.05GA, P0.05H, P0.1, P0.2, P0.3, P1, P10, P12, P14, P15, P16, P17, P2, P21, P21NA, P22, P25, P2C, P2Z, P3
12;Empty battery;The product cannot enter the charging station because the antenna in the baseplate of the charging station is damaged.;Replace the baseplate of the charging station.;P0.05, P0.05GA, P0.05H, P0.1, P0.2, P0.3, P1, P10, P12, P14, P15, P16, P17, P2, P21, P21NA, P22, P25, P2C, P2Z, P3
12;Empty battery;The product cannot find the charging station because the product has no accurate position and cannot operate.;Examine the installation if there are large parts where the satellite signal is weak. Redo the installation if necessary.;P14, P22, P25, P2Z, P3
11;Low battery;The battery is at the end of its life cycle.;Replace the battery.;P0.1, P0.2, P1, P15
12;Empty battery;The battery is at the end of its life cycle.;Replace the battery.;P0.05, P0.05GA, P0.1, P0.2, P0.3, P1, P14, P15
11;Low battery;The product cannot find the charging station because the guide wire is damaged.;Examine that the connections of the guide wire to the charging station and to the boundary wire are correct. Examine if there is a break in the guide wire and repair if necessary.;P12, P15, P2, P2C
12;Empty battery;The product cannot find the charging station because the guide wire is damaged.;Examine that the connections of the guide wire to the charging station and to the boundary wire are correct. Examine if there is a break in the guide wire and repair if necessary.;P12, P14, P15, P16, P17, P2, P21, P21NA, P25, P2C
18;Collision problem, rear;The drive wheels on the product are blocked.;Free the product and correct the cause of problem. If the problem stays, speak to your authorized service center. ;P0.1, P0.2, P0.3, P12
19;Collision problem, front ;The drive wheels on the product are blocked.;Free the product and correct the cause of problem. If the problem stays, speak to your authorized service center. ;P0.1, P0.2, P0.3, P12
18;Collision problem, rear;The body of the product cannot move freely around its chassis.;Examine that the body of the product can move freely around its chassis. Examine that the body of the product is correctly installed and there is no dirt blocking it. If the problem stays, speak to your authorized service center. ;P1, P10, P15, P2, P22, P25, P2C
18;Collision problem, rear;The main circuit board or its cabling is damaged or not installed correctly.;Examine the main circuit board and its cabling. Examine that the collision sensor magnets are not missing or installed in opposite direction. Replace if necessary.;P1, P10, P15
18;Collision problem, rear;The rear collision circuit board is damaged or not installed correctly.;Examine the rear collision circuit board and its cabling. Examine that the collision sensor magnets are not missing or installed in opposite direction. Replace if necessary.;P2, P2C
18;Collision problem, rear;One or several magnetic 3D circuit boards for the rear collision sensors are damaged or not installed correctly.;Examine the magnetic 3D circuit boards for the rear collision sensors and their cabling. Examine that the collision sensor magnets are not missing or installed in opposite direction. Replace if necessary.;P25
19;Collision problem, front ;The front collision circuit board is damaged or not installed correctly.;Examine the front collision circuit board and its cabling. Examine that the collision sensor magnets are not missing or installed in opposite direction. Replace if necessary.;P15, P2, P2C, P2Z
19;Collision problem, front ;The body of the product cannot move freely around its chassis.;Examine that the body of the product can move freely around its chassis. Examine that the body of the product is correctly installed and there is no dirt blocking it. If the problem stays, speak to your authorized service center.;P1, P10, P15, P2, P21, P22, P25, P2C
19;Collision problem, front ;One or several magnetic 3D circuit boards for the front collision sensors are damaged or not installed correctly.;Examine the magnetic 3D circuit boards for the front collision sensors and their cabling. Examine that the collision sensor magnets are not missing or installed in opposite direction. Replace if necessary.;P25
110;Collision;The body of the product cannot move freely around its chassis.;Examine that the body of the product can move freely around its chassis. Examine that the body of the product is correctly installed and there is no dirt blocking it. If the problem stays, speak to your authorized service center.;P17, P21, P22, P2Z
1;Outside work area;The product finds it hard to distinguish the correct loop signal because of interference with another product installation nearby.;Put the product in the charging station and make a new loop signal.;P0.05, P0.05GA, P0.05H, P0.1, P0.2, P0.3, P1, P10, P12, P14, P15, P16, P17, P2, P21, P21NA, P25, P2C
1;Outside work area;The product finds it hard to distinguish the correct charging station signal because of interference with another product installation nearby.;Put the product in the charging station and make a new charging station signal.;P22, P2Z, P3
1;Outside work area;The boundary wire connections to the charging station are not installed correctly.;Examine that the left and right sections of the boundary wire are installed correctly to the left and right connections in the charging station. ;P0.05, P0.05GA, P0.05H, P0.1, P0.2, P0.3, P1, P10, P12, P14, P15, P16, P17, P2, P21, P21NA, P25, P2C
1;Outside work area;The boundary wire around an island is not installed correctly. The boundary wires are crossed. ;Examine that the boundary wire around the island is installed according to the instructions. Put the two sections of boundary wire to and from the island close together. ;P0.05, P0.05GA, P0.05H, P0.1, P0.2, P0.3, P1, P10, P12, P14, P15, P16, P17, P2, P21, P21NA, P25, P2C
1;Outside work area;The work area slopes too much by the virtual boundary.;Examine that the virtual boundary is installed correctly.;P14, P22, P25, P2Z, P3
2;No loop signal;There is no power in the charging station. The indicator lamp on the charging station is not lit. ;Examine if the power supply unit or the low-voltage cable is damaged or not installed correctly to the power outlet or the charging station. Examine if there is a power failure or if a residual-current device is enabled. ;P0.05, P0.05GA, P0.05H, P0.1, P0.2, P0.3, P1, P10, P12, P14, P15, P16, P17, P2, P21, P21NA, P22, P25, P2C, P2Z
2;No loop signal;ECO mode is enabled and the loop signal is disabled when the product is started in the work area.;Put the product in the charging station and start the product. To start the product manually in the work area, push the STOP button before you remove the product from the charging station.;P0.05, P0.05GA, P0.05H, P0.1, P0.2, P0.3, P1, P10, P12, P14, P15, P16, P17, P2, P21, P21NA, P25, P2C
2;No loop signal;ECO mode is enabled and the charging station signal is disabled when the product is started in the work area.;Put the product in the charging station and start the product. To start the product manually in the work area, push the STOP button before you remove the product from the charging station.;P25, P2Z, P3
2;No loop signal;The boundary wire is damaged or not installed correctly. ;Examine that the boundary wire is connected correctly to the charging station. Examine all splices on the boundary wire. Examine if there is a break in the boundary wire and repair if necessary. ;P0.05, P0.05GA, P0.05H, P0.1, P0.2, P0.3, P1, P10, P12, P14, P15, P16, P17, P2, P21, P21NA, P25, P2C
2;No loop signal;The product does not find the loop signal from the charging station.;Put the product in the charging station and make a new loop signal.;P0.05, P0.05GA, P0.05H, P0.1, P0.2, P0.3, P1, P10, P12, P14, P15, P16, P17, P2, P21, P21NA, P25, P2C
2;No loop signal;The product does not find the charging station signal. ;Put the product in the charging station and make a new charging station signal.;P2Z, P3
2;No loop signal;The product is too far from the boundary wire.;Redo the installation of the boundary wire so that all parts of the work area are maximum 15 m / 50 ft. from the boundary wire.;P0.05, P0.05GA, P0.05H, P0.1, P0.2, P0.3, P1, P10
2;No loop signal;The product is too far from the boundary wire.;Redo the installation of the boundary wire so that all parts of the work area is maximum 35 m / 115 ft. from the boundary wire.;P12, P15, P16, P17, P2, P21, P21NA, P25, P2C
2;No loop signal;The charging station is not installed correctly.;Install the charging station according to the instruction.;P21, P21NA, P22, P25, P2Z, P3
50;Guide 1 not found;The previously installed guide wire is no longer found. ;Examine if the guide wire is not correctly connected to the charging station or the boundary wire. Examine if there is a break in the guide wire. ;P0.05, P0.05GA, P0.05H, P0.1, P0.2, P0.3, P1, P10, P12, P14, P15, P16, P17, P2, P21, P21NA, P22, P25, P2C
51;Guide 2 not found;The previously installed guide wire is no longer found. ;Examine if the guide wire is not correctly connected to the charging station or the boundary wire. Examine if there is a break in the guide wire. ;P0.05GA, P14, P17, P2, P21, P21NA, P25, P2C
52;Guide 3 not found;The previously installed guide wire is no longer found. ;Examine if the guide wire is not correctly connected to the charging station or the boundary wire. Examine if there is a break in the guide wire. ;P17, P2, P21, P21NA, P25, P2C
18;Collision problem, rear;One of the wheel motors is damaged or not installed correctly. ;Examine the wheel motors and their cabling.;P0.1, P0.2, P0.3, P12
18;Collision problem, rear;The main circuit board is damaged or not installed correctly. ;Examine the main board and its cabling. Replace if necessary. ;P0.1, P0.2, P0.3, P12
19;Collision problem, front ;One of the wheel motors is damaged or not installed correctly.;Examine the wheel motors and their cabling.;P0.1, P0.2, P0.3, P12
19;Collision problem, front ;The main circuit board is damaged or not installed correctly.;Examine the main board and its cabling. Replace if necessary.;P0.1, P0.2, P0.3, P12
58;Battery problem;Temporary electronic or firmware problem in the product.;Restart the product. If the problem stays, speak to your authorized service center.;P0.05, P0.05GA, P0.05H, P0.1, P0.2, P0.3, P1, P10, P12, P14, P15, P16, P17, P2, P21, P21NA, P22, P25, P2C, P2Z, P3
59;Battery problem;Temporary electronic or firmware problem in the product.;Restart the product. If the problem stays, speak to your authorized service center.;P2, P2C
60;Temporary battery problem;Temporary electronic or firmware problem in the product.;Restart the product. If the problem stays, speak to your authorized service center.;P0.05, P0.05GA, P0.05H, P0.1, P0.2, P0.3, P1, P10, P12, P14, P15, P16, P17, P2, P21, P21NA, P22, P25, P2C, P2Z, P3
61;Temporary battery problem;Temporary electronic or firmware problem in the product.;Restart the product. If the problem stays, speak to your authorized service center.;P2, P2C
68;Temporary battery problem;Temporary electronic or firmware problem in the product.;Restart the product. If the problem stays, speak to your authorized service center.;P2, P2C, P2Z
58;Battery problem;The type of battery is incorrect.;Use only original batteries recommended by the manufacturer.;P0.05, P0.05GA, P0.05H, P0.1, P0.2, P0.3, P1, P10, P12, P14, P15, P16, P17, P2, P21, P21NA, P22, P25, P2C, P2Z, P3
58;Battery problem;The type of battery is incorrect for battery A.;Use only original batteries recommended by the manufacturer.;P2, P2C
59;Battery problem;The type of battery is incorrect for battery B.;Use only original batteries recommended by the manufacturer.;P2, P2C
60;Temporary battery problem;The type of battery is incorrect.;Use only original batteries recommended by the manufacturer.;P0.05, P0.05GA, P0.05H, P0.1, P0.2, P0.3, P1, P10, P12, P14, P15, P16, P17, P2, P21, P21NA, P22, P25, P2C, P2Z, P3
60;Temporary battery problem;The type of battery is incorrect for battery A.;Use only original batteries recommended by the manufacturer.;P2, P2C
61;Temporary battery problem;The type of battery is incorrect for battery B.;Use only original batteries recommended by the manufacturer.;P2, P2C
60;Temporary battery problem;The battery temperature sensor is damaged. ;Replace the battery.;P0.05, P0.05GA, P0.05H, P0.1, P0.2, P0.3, P1, P10, P12, P14, P15, P16, P17, P2, P21, P21NA, P22, P25, P2C, P2Z, P3
60;Temporary battery problem;The battery temperature sensor for battery A is damaged. ;Replace the battery.;P2, P2C
61;Temporary battery problem;The battery temperature sensor for battery B is damaged. ;Replace the battery. ;P2, P2C
68;Temporary battery problem;Incorrect combination of battery types. ;Use only original batteries recommended by the manufacturer.;P2, P2C, P2Z
68;Temporary battery problem;Only 1 of 2 batteries is connected.;Examine that both batteries are correctly installed. ;P2, P2C, P2Z
62;Battery temperature outside limits / Temperature restriction;The temperature in the battery is too high or too low for the product to operate. ;The product will continue with normal operation when the temperature in the battery is within the set temperature limits.  Make sure that the charging station is put in an area with protection from the sun.;P0.05, P0.05GA, P0.05H, P0.1, P0.2, P0.3, P1, P10, P12, P14, P15, P16, P17, P2, P21, P21NA, P22, P25, P2C, P2Z, P3
62;Battery temperature outside limits / Temperature restriction;The temperature in battery A is too high or too low for the product to operate. ;The product will continue with normal operation when the temperature in the battery is within the set temperature limits.  Make sure that the charging station is put in an area with protection from the sun.;P2, P2C
63;Battery temperature outside limits / Temperature restriction;The temperature in battery B is too high or too low for the product to operate. ;The product will continue with normal operation when the temperature in the battery is within the set temperature limits.  Make sure that the charging station is put in an area with protection from the sun. ;P2, P2C
63;Battery temperature outside limits / Temperature restriction;The temperature in the battery is too high or too low for the product to operate. ;The product will continue with normal operation when the temperature in the battery is within the set temperature limits.  Make sure that the charging station is put in an area with protection from the sun.;P2, P2C
66;Battery problem;The type of battery is incorrect.;Use only original batteries recommended by the manufacturer.;P0.05, P0.05GA, P0.05H, P0.1, P0.2, P0.3, P1, P10, P12, P14, P15, P16, P17, P2, P21, P21NA, P22, P25, P2C, P2Z, P3
66;Battery problem;Temporary electronic or firmware problem in the product.;Restart the product. If the problem stays, speak to your authorized service center.;P0.05, P0.05GA, P0.05H, P0.1, P0.2, P0.3, P1, P10, P12, P14, P15, P16, P17, P2, P21, P21NA, P22, P25, P2C, P2Z, P3
66;Battery problem;The battery is damaged or not installed correctly. ;Examine the battery and its cabling, replace if necessary. ;P0.05, P0.05GA, P0.05H, P0.1, P0.2, P0.3, P1, P10, P12, P14, P15, P16, P17, P2, P21, P21NA, P22, P25, P2C, P2Z, P3
66;Battery problem;The main circuit board or its cabling is damaged or not installed correctly.;Examine the main circuit board and its cabling. Replace if necessary.;P0.05, P0.05H, P0.1, P0.2, P0.3, P1, P10, P12, P15, P2, P2C
67;Battery problem;2 batteries are installed, but the product only support 1 battery. ;Remove battery B. ;P2, P2C
67;Battery problem;Temporary electronic or firmware problem in the product.;Restart the product. If the problem stays, speak to your authorized service center.;P2, P2C
69;Alarm! Mower switched off;The alarm was started because the product was switched off.;Enter the PIN code to disable the alarm. ;P0.1, P0.2, P0.3, P1, P10, P12, P15, P16, P2, P2C
70;Alarm! Mower stopped;The alarm was started because the product was stopped.;Enter the PIN code to disable the alarm. ;P0.1, P0.2, P0.3, P1, P10, P12, P15, P16, P17, P2, P21, P21NA, P22, P25, P2C, P2Z, P3
71;Alarm! Mower lifted;The alarm was started because the product was lifted.;Enter the PIN code to disable the alarm. ;P0.1, P0.2, P0.3, P1, P10, P12, P15, P16, P2, P2C
72;Alarm! Mower tilted;The alarm was started because the product was tilted.;Enter the PIN code to disable the alarm. ;P0.1, P0.2, P0.3, P1, P10, P12, P15, P16, P2, P2C
73;Alarm! Mower was moved;The alarm was started because the product was moved.;Enter the PIN code to disable the alarm. ;P16, P17, P21, P21NA, P22, P25, P2Z, P3
74;Alarm! Outside GeoFence;The alarm was started because the product was outside the GeoFence. ;Enter the PIN code to disable the alarm. ;P16, P17, P2, P21, P21NA, P22, P25, P2C, P2Z, P3
79;Faulty mix of batteries;Only 1 of 2 batteries is connected.;Examine that both batteries are correctly installed.;P2, P2C, P2Z
79;Faulty mix of batteries;Incorrect combination of battery types.;Use only original batteries recommended by the manufacturer.;P2, P2C, P2Z
79;Faulty mix of batteries;Temporary electronic or firmware problem in the product.;Restart the product. If the problem stays, speak to your authorized service center.;P2, P2C, P2Z
49;Ultrasonic problem;Temporary electronic or firmware problem in the product.;Restart the product. If the problem stays, speak to your authorized service center.;P2, P25, P2C, P2Z
49;Ultrasonic problem;The ultrasonic sensors are damaged or not installed correctly.;Examine the ultrasonic sensors and their cabling. Replace if necessary. ;P2, P25, P2C, P2Z
49;Ultrasonic problem;The ultrasonic circuit board is damaged or not installed correctly. ;Examine the ultrasonic circuit board and its cabling. Replace if necessary. ;P2, P25, P2C, P2Z
53;GPS navigation problem;Temporary electronic or firmware problem in the product.;Restart the product. If the problem stays, speak to your authorized service center.;P15, P16, P17, P2, P21, P21NA, P22, P25, P2C, P2Z, P3
53;GPS navigation problem;The communication circuit board is damaged or not installed correctly.;Examine the communication circuit board and its cabling. Replace if necessary.;P15, P16, P17, P2, P21, P21NA, P22, P25, P2C, P2Z, P3
54;Weak GPS signal;The GPS signal is blocked in large parts of the work area.;If possible, remove objects that are blocking the signal. If the problem stays, disable the GPS navigation function and use the lawn coverage function instead.;P14, P15, P17, P2, P21, P21NA, P25, P2C
55;Difficult finding home;The product has followed the boundary wire several laps but has not found the charging station.;Examine the settings of the corridor width for the boundary wire.;P12, P15, P16, P2, P2C
55;Difficult finding home;The product has followed the boundary wire several laps but has not found the charging station.;Examine the settings of the corridor width for the boundary wire.;P12, P15, P16, P2, P2C
56;Guide calibration done;The product has succeeded to calibrate the guide wire.;No action required.;P0.1, P0.2, P0.3, P12, P15, P2, P25, P2C
57;Guide calibration failed;The product has failed to calibrate the guide wire.;Examine that the guide wire is installed according to the instructions. The next time the product leaves the charging station, a new guide calibration is done.;P0.1, P0.2, P0.3, P12, P15, P2, P25, P2C
75;Connection changed;The loop signal was successfully changed.;No action.;P0.05, P0.05GA, P0.05H, P0.1, P0.2, P0.3, P12, P15, P16, P2, P2C, P2Z
76;Connection NOT changed;Failed to change the loop signal.;Try to make a new loop signal several times. If the problem stays, speak to your authorized service center.;P0.05, P0.05GA, P0.05H, P0.1, P0.2, P0.3, P12, P14, P15, P16, P2, P25, P2C
76;Connection NOT changed;The main circuit board is damaged.;Examine the main circuit board and its cabling. Replace if necessary.;P0.05, P0.05GA, P0.05H, P0.1, P0.2, P0.3, P12, P15, P2, P2C
76;Connection NOT changed;The battery is damaged.;Examine and replace the battery.;P0.05, P14, P16, P25
77;Connectivity problem;Temporary electronic or firmware problem in the product.;Restart the product. If the problem stays, speak to your authorized service center.;P15, P16, P17, P2, P21, P21NA, P22, P25, P2C, P2Z, P3
77;Connectivity problem;These is a problem with the communication circuit board in the product.;Restart the product. It can be a temporary problem, try to restart again in 30 minutes. If the problem stays, examine the communication circuit board and replace if necessary.;P15, P16, P17, P2, P21, P21NA, P22, P25, P2C, P2Z, P3
80;Cutting system imbalance;The product has discovered vibrations in the blade disc.;Examine that the blades and screws are not damaged or worn. Make sure that all blades are correctly installed and that there is only one blade attached in each position on the blade disc.;P12, P14, P15, P16, P17, P2, P21, P21NA, P22, P25, P2C, P2Z, P3
112;Cutting system major imbalance;The product has discovered vibrations in the blade disc.;Continued operation can cause damage to the cutting system. Examine that the blades and screws are not damaged or worn. Make sure that all blades are correctly installed and that there is only one blade attached in each position on the blade disc.;P2, P21, P21NA, P22, P2C, P2Z
31;STOP button problem;Temporary electronic or firmware problem in the product.;Restart the product. If the problem stays, speak to your authorized service center.;P0.05, P0.05H, P14, P17, P21, P22, P25
31;STOP button problem;The STOP button sensor is damaged or not installed correctly.;Examine that the  STOP sensor magnet is not missing or installed in opposite direction. Examine the application circuit board and replace if necessary.;P14, P17, P21, P25
31;STOP button problem;The STOP button sensor is damaged or not installed correctly.;Examine that the  STOP sensor magnet is not missing or installed in opposite direction. Examine the main circuit board and replace if necessary.;P0.05, P0.05H
32;Tilt sensor problem;Temporary electronic or firmware problem in the product.;Restart the product. If the problem stays, speak to your authorized service center.;P0.05, P0.05GA, P0.05H, P0.1, P0.2, P0.3, P1, P10, P12, P14, P15, P16, P17, P2, P21, P21NA, P22, P25, P2C, P2Z, P3
32;Tilt sensor problem;The tilt sensor has incorrect values.;Put the product on level ground and calibrate the tilt sensor.;P0.05, P0.05GA, P0.05H, P0.1, P0.2, P0.3, P1, P10, P12, P14, P15, P16, P17, P2, P21, P21NA, P22, P25, P2C, P2Z, P3
32;Tilt sensor problem;The tilt sensor has incorrect values.;Examine the main circuit board and its cabling. Replace if necessary.;P0.05, P0.05GA, P0.05H, P0.1, P0.2, P0.3, P1, P10, P12, P15, P2, P2C
32;Tilt sensor problem;The tilt sensor has incorrect values.;Examine the motor control circuit board and its cabling. Replace if necessary.;P14, P16, P2Z
32;Tilt sensor problem;The tilt sensor has incorrect values.;Examine the front motor control board, the rear motor control circuit board and their cabling. Replace if necessary.;P25
33;Mower tilted;The product is tilted.;Move the product to a level area.;P0.05, P0.05GA, P0.05H, P0.1, P0.2, P0.3, P1, P10, P12, P14, P15, P16, P17, P2, P21, P21NA, P22, P25, P2C, P2Z, P3
33;Mower tilted;The tilt sensor has incorrect values.;Put the product on level ground and calibrate the tilt sensor.;P0.05, P0.05GA, P0.05H, P0.1, P0.2, P0.3, P1, P10, P12, P14, P15, P16, P17, P2, P21, P21NA, P22, P25, P2C, P2Z, P3
30;Charging system problem;Temporary electronic or firmware problem in the product.;Restart the product. If the problem stays, speak to your authorized service center.;P0.05, P0.05H, P0.1, P0.2, P0.3, P1, P10, P12, P14, P15, P16, P17, P2, P21, P25, P2C, P2Z, P3
30;Charging system problem;The power supply unit or low-voltage cable is damaged or not installed correctly. ;Make sure that you use the correct power supply unit for the product. The maximum length of the low-voltage cable is 20 meter. Examine the power supply unit and low-voltage cable and their connectors. Replace if necessary. ;P0.05, P0.05H, P0.1, P0.2, P0.3, P1, P10, P12, P14, P15, P16, P17, P2, P21, P25, P2C, P2Z
30;Charging system problem;The charging station is damaged or not installed correctly. ;Examine the charging station circuit board, the contact plates and all cabling and connectors in the charging station. Replace if necessary.;P0.05, P0.05H, P0.1, P0.2, P0.3, P1, P10, P12, P14, P15, P16, P17, P2, P21, P25, P2C, P2Z, P3
30;Charging system problem;The charging plates are damaged or not installed correctly. ;Examine the charging plates on the product, its cabling and connectors. Replace if necessary. ;P1, P10, P12, P14, P15, P16, P2, P25, P2C, P2Z, P3
30;Charging system problem;The connector for the charging plates is damaged or not installed correctly. ;Remove the grommet for the charge cable in the lower chassis. Examine the connector on the charge cable and replace if necessary. ;P12, P15, P16, P2, P2C, P2Z
30;Charging system problem;The connector for the charging plates is damaged or not installed correctly. ;Remove the grommet for the charge cable in the rear lower chassis. Examine the connector on the charge cable and replace if necessary. ;P25
30;Charging system problem;The battery is damaged or not installed correctly. ;Examine the battery and its cabling and connectors and replace if necessary. ;P0.05, P0.05H, P0.1, P0.2, P0.3, P1, P10, P12, P14, P15, P16, P17, P2, P21, P25, P2C, P2Z, P3
30;Charging system problem;The main circuit board or its cabling is damaged or not installed correctly.;Examine the main circuit board and its cabling and connectors. Replace if necessary.;P0.05, P0.05H, P1, P10, P12, P15, P2, P2C
30;Charging system problem;The rear sensor module is damaged or not installed correctly.;Examine the rear sensor module and replace if necessary. ;P0.1, P0.2, P0.3
58;Battery problem;The type of battery is incorrect for battery A or B.;Use only original batteries recommended by the manufacturer.;P2Z
60;Temporary battery problem;The type of battery is incorrect for battery A or B.;Use only original batteries recommended by the manufacturer.;P2Z
60;Temporary battery problem;The battery temperature sensor for battery A or B is damaged.;Replace the battery.;P2Z
62;Battery temperature outside limits / Temperature restriction;The temperature in battery A or B is too high or too low for the product to operate.;The product will continue with normal operation when the temperature in the battery is within the set temperature limits. Make sure that the charging station is put in an area with protection from the sun.;P2Z
1;Outside work area;The transport path or the path to the maintenance point slopes too much.;Examine that the transport path is installed correctly.;P22, P25, P2Z, P3
17;Charging station blocked;The connection between the charging plates on the product and the contact plates on the charging station is not good. The product has made a number of tries to charge.;Put the product in the charging station and make sure that the charging plates and contact plates are connected. Clean the contact plates on the charging station and the charging plates on the product.;P0.05, P0.05GA, P0.05H, P0.1, P0.2, P0.3, P1, P10, P12, P14, P15, P16, P17, P2, P21, P21NA, P22, P25, P2C, P2Z, P3
2;No loop signal;There is no power in the charging station. The indicator lamp on the charging station is not lit.;Examine if the power supply unit or mains cable is damaged or not installed correctly to the power outlet or the charging station. Examine if there is a power failure or if a residual-current device is enabled.;P22, P3
15;Lifted;The lift sensor has been enabled because the product has been lifted.;Make sure that the product body can move freely around its chassis. Remove or create a stay-out zone around objects that can cause the body to be lifted. If the problem stays speak to your authorized service center.;P22, P2Z, P3
76;Connection NOT changed;Failed to change the charging station signal.;Try to make a new charging station signal several times. If the problem stays, speak to your authorized service center.;P2Z
81;Safety function faulty;Temporary electronic or firmware problem in the product.;Restart the product. If the problem stays, speak to your authorized service center.;P0.05, P0.05GA, P0.05H, P0.1, P0.2, P0.3, P12, P14, P16, P17, P21, P21NA, P22, P25, P2Z, P3
95;Cutting deck not in correct position;The cutting deck is not attached correctly.;Make sure that the cutting deck is attached correctly and that the lever is in correct position. If the problem stays, speak to your authorized service center.;P3
95;Cutting deck not in correct position;The cutting deck is in servicing position.;Make sure that the cutting deck is in cut position. If the problem stays, speak to your authorized service center.;P3
96;Wheel brush motor overloaded, right;The right wheel brush motor is blocked by grass or other objects. ;Examine the right wheel brush motor and remove the grass or other objects. If the problem stays, speak to your authorized service center.;P3
97;Wheel brush motor overloaded, left;The left wheel brush motor is blocked by grass or other objects.;Examine the left wheel brush motor and remove the grass or other objects. If the problem stays, speak to your authorized service center.;P3
